iter	RMSE
0	0.4220692157
1	0.3956122901
2	0.381371108
3	0.3748906826
4	0.3705417313
5	0.3677147074
6	0.365497077
7	0.3642916616
8	0.3630805025
9	0.3620871243
10	0.3610987864
11	0.3596571944
12	0.3584563577
13	0.357631598
14	0.3568252234
15	0.3564375579
16	0.3553070126
17	0.3541912378
18	0.3532066489
19	0.352812228
20	0.352359499
21	0.3514935008
22	0.3506690744
23	0.3499079944
24	0.3487783346
25	0.3479163474
26	0.3473704193
27	0.3466951883
28	0.345655354
29	0.3441857284
30	0.3431806701
31	0.3424140642
32	0.3415293379
33	0.3409778515
34	0.33996657
35	0.3391428897
36	0.3385041649
37	0.3375744746
38	0.3365428361
39	0.3355793278
40	0.334813369
41	0.3343563945
42	0.3333314715
43	0.3323164514
44	0.3317936875
45	0.3308340807
46	0.3297780717
47	0.3292530677
48	0.3287948015
49	0.3280533429
50	0.3273617312
51	0.3265625521
52	0.3260954348
53	0.3254512458
54	0.3247660237
55	0.3244319588
56	0.3238983567
57	0.3231778096
58	0.3223971704
59	0.3218686795
60	0.321041665
61	0.3203534568
62	0.3195381759
63	0.3187479957
64	0.3181488548
65	0.3177549374
66	0.3171774036
67	0.3167172659
68	0.316283984
69	0.3159537059
70	0.3154518067
71	0.3148601507
72	0.314262922
73	0.3135153135
74	0.3128161169
75	0.3120538171
76	0.3110941596
77	0.3105729074
78	0.3101394922
79	0.3096544565
80	0.3096259835
81	0.3090778732
82	0.3082477378
83	0.3075817724
84	0.306770576
85	0.3063887625
86	0.3056729571
87	0.3053028937
88	0.305167439
89	0.3045573113
90	0.3042524003
91	0.3036736416
92	0.3034990083
93	0.3029188641
94	0.3022821435
95	0.3019002827
96	0.3014173805
97	0.3010039456
98	0.3006698602
99	0.2997804866
