iter	Passed	Remaining
0	7	726
1	13	682
2	20	654
3	25	600
4	30	579
5	35	551
6	40	537
7	44	512
8	48	491
9	52	469
10	55	451
11	59	435
12	63	424
13	66	410
14	70	398
15	74	390
16	77	380
17	81	371
18	84	361
19	87	351
20	91	342
21	94	334
22	97	326
23	100	319
24	104	312
25	107	305
26	110	298
27	113	291
28	116	285
29	120	280
30	123	274
31	126	269
32	130	264
33	133	259
34	136	254
35	140	249
36	143	244
37	146	239
38	150	234
39	153	229
40	156	225
41	159	220
42	163	216
43	166	212
44	170	207
45	173	203
46	176	199
47	180	195
48	183	191
49	186	186
50	190	182
51	193	178
52	196	174
53	199	170
54	202	166
55	205	161
56	209	157
57	212	153
58	215	149
59	218	145
60	221	141
61	225	138
62	228	134
63	231	130
64	235	126
65	238	122
66	241	118
67	244	115
68	247	111
69	250	107
70	254	103
71	257	100
72	260	96
73	263	92
74	267	89
75	270	85
76	274	81
77	277	78
78	280	74
79	283	70
80	286	67
81	289	63
82	293	60
83	296	56
84	299	52
85	303	49
86	306	45
87	309	42
88	313	38
89	316	35
90	319	31
91	322	28
92	325	24
93	328	20
94	332	17
95	335	13
96	338	10
97	341	6
98	344	3
99	348	0
